origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
MEX,GDL,194.363,-990.721,205.218,-103.311
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
GDL,MEX,205.218,-103.311,194.363,-990.721
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
GDL,MEX,205.218,-103.311,194.363,-990.721
GDL,MEX,205.218,-103.311,194.363,-990.721
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,GDL,194.363,-990.721,205.218,-103.311
MEX,CJS,194.363,-990.721,316.361,-106.429
MEX,CJS,194.363,-990.721,316.361,-106.429
CJS,MEX,316.361,-106.429,194.363,-990.721
CJS,MEX,316.361,-106.429,194.363,-990.721
MTY,GDL,257.785,-100.107,205.218,-103.311
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
CUN,MEX,210.365,-868.771,194.363,-990.721
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
CUN,MEX,210.365,-868.771,194.363,-990.721
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
MEX,CUN,194.363,-990.721,210.365,-868.771
TIJ,MEX,325.411,-116.97,194.363,-990.721
MEX,TIJ,194.363,-990.721,325.411,-116.97
TIJ,MEX,325.411,-116.97,194.363,-990.721
MEX,TIJ,194.363,-990.721,325.411,-116.97
MEX,HMO,194.363,-990.721,290.959,-111.048
HMO,MEX,290.959,-111.048,194.363,-990.721
MEX,CME,194.363,-990.721,186.537,-91.799
MEX,CME,194.363,-990.721,186.537,-91.799
CME,MEX,186.537,-91.799,194.363,-990.721
CME,MEX,186.537,-91.799,194.363,-990.721
MEX,MID,194.363,-990.721,20.937,-896.577
MEX,MID,194.363,-990.721,20.937,-896.577
MID,MEX,20.937,-896.577,194.363,-990.721
MEX,MID,194.363,-990.721,20.937,-896.577
MID,MEX,20.937,-896.577,194.363,-990.721
MEX,CTM,194.363,-990.721,185.047,-883.268
MEX,CTM,194.363,-990.721,185.047,-883.268
CTM,MEX,185.047,-883.268,194.363,-990.721
CTM,MEX,185.047,-883.268,194.363,-990.721
CTM,MEX,185.047,-883.268,194.363,-990.721
CTM,MEX,185.047,-883.268,194.363,-990.721
CTM,MEX,185.047,-883.268,194.363,-990.721
CTM,MEX,185.047,-883.268,194.363,-990.721
MEX,CTM,194.363,-990.721,185.047,-883.268
MEX,CTM,194.363,-990.721,185.047,-883.268
MEX,CTM,194.363,-990.721,185.047,-883.268
MEX,CTM,194.363,-990.721,185.047,-883.268
CTM,MEX,185.047,-883.268,194.363,-990.721
CTM,MEX,185.047,-883.268,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
MEX,VER,194.363,-990.721,191.459,-961.873
MEX,VER,194.363,-990.721,191.459,-961.873
MEX,VER,194.363,-990.721,191.459,-961.873
MEX,VER,194.363,-990.721,191.459,-961.873
MEX,VER,194.363,-990.721,191.459,-961.873
MEX,VER,194.363,-990.721,191.459,-961.873
MEX,VER,194.363,-990.721,191.459,-961.873
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
VER,MEX,191.459,-961.873,194.363,-990.721
MEX,OAX,194.363,-990.721,169.999,-967.266
OAX,MEX,169.999,-967.266,194.363,-990.721
MEX,HUX,194.363,-990.721,157.753,-962.626
MEX,HUX,194.363,-990.721,157.753,-962.626
HUX,MEX,157.753,-962.626,194.363,-990.721
HUX,MEX,157.753,-962.626,194.363,-990.721
MEX,ZIH,194.363,-990.721,176.016,-101.461
MEX,ZIH,194.363,-990.721,176.016,-101.461
MEX,ZIH,194.363,-990.721,176.016,-101.461
MEX,ZIH,194.363,-990.721,176.016,-101.461
MEX,ZIH,194.363,-990.721,176.016,-101.461
PVR,MEX,206.801,-105.254,194.363,-990.721
PVR,MEX,206.801,-105.254,194.363,-990.721
PVR,MEX,206.801,-105.254,194.363,-990.721
PVR,MEX,206.801,-105.254,194.363,-990.721
PVR,MEX,206.801,-105.254,194.363,-990.721
PVR,MEX,206.801,-105.254,194.363,-990.721
PVR,MEX,206.801,-105.254,194.363,-990.721
MEX,PVR,194.363,-990.721,206.801,-105.254
MEX,PVR,194.363,-990.721,206.801,-105.254
PVR,MEX,206.801,-105.254,194.363,-990.721
MEX,PVR,194.363,-990.721,206.801,-105.254
MEX,PVR,194.363,-990.721,206.801,-105.254
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
MEX,LIM,194.363,-990.721,-120.219,-771.143
